商品名稱	官方商品 slug	本地檔案	官方圖片 URL	官方商品頁	檔案大小	狀態
Kataphron Breachers	Kataphron-Battle-Servitors-Breachers-2017	Kataphron-Battle-Servitors-Breachers-2017.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99120116006_AdMechBattleServitorsBreachers01.jpg	https://www.warhammer.com/en-WW/shop/Kataphron-Battle-Servitors-Breachers-2017	120677	OK
Kataphron Destroyers	Kataphron-Battle-Servitors-Destroyers-2017	Kataphron-Battle-Servitors-Destroyers-2017.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99120116006_AdMechBattleServitorsDestroyers01.jpg	https://www.warhammer.com/en-WW/shop/Kataphron-Battle-Servitors-Destroyers-2017	97913	OK
Pteraxii Skystalkers	Adeptus-Mechanicus-Pteraxii-2020	Adeptus-Mechanicus-Pteraxii-2020.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99120116025_PteraxiiLead.jpg	https://www.warhammer.com/en-WW/shop/Adeptus-Mechanicus-Pteraxii-2020	106847	OK
Pteraxii Sterylizors	Adeptus-Mechanicus-Pteraxii-Sterylizors-2020	Adeptus-Mechanicus-Pteraxii-Sterylizors-2020.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99120116025_SterylizorsLead.jpg	https://www.warhammer.com/en-WW/shop/Adeptus-Mechanicus-Pteraxii-Sterylizors-2020	104546	OK
Serberys Raiders	Adeptus-Mechanicus-Serberys-Raiders-2020	Adeptus-Mechanicus-Serberys-Raiders-2020.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99120116026_AMSerberysRaidersLead.jpg	https://www.warhammer.com/en-WW/shop/Adeptus-Mechanicus-Serberys-Raiders-2020	135721	OK
Serberys Sulphurhounds	Adeptus-Mechanicus-Serberys-Sulphurhounds--2020	Adeptus-Mechanicus-Serberys-Sulphurhounds--2020.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99120116026_AMSerberysSulphurhoundsLead.jpg	https://www.warhammer.com/en-WW/shop/Adeptus-Mechanicus-Serberys-Sulphurhounds--2020	133123	OK
Sicarian Infiltrators	Sicarian-Infiltrators-2017	Sicarian-Infiltrators-2017.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99120116003_SicarianInfiltrators01.jpg	https://www.warhammer.com/en-WW/shop/Sicarian-Infiltrators-2017	106083	OK
Sicarian Ruststalkers	Sicarians-2017	Sicarians-2017.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99120116003_SicarianRuststalkers01.jpg	https://www.warhammer.com/en-WW/shop/Sicarians-2017	106119	OK
Skitarii Marshal	Adeptus-Mechanicus-Skitarii-Marshall-2021	Adeptus-Mechanicus-Skitarii-Marshall-2021.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99070116003_AMSkitariiMarshalLead.jpg	https://www.warhammer.com/en-WW/shop/Adeptus-Mechanicus-Skitarii-Marshall-2021	86309	OK
Skitarii Rangers	Skitarii-Rangers-2017	Skitarii-Rangers-2017.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99120116002_SkitariiRangers01.jpg	https://www.warhammer.com/en-WW/shop/Skitarii-Rangers-2017	114788	OK
Skitarii Vanguard	Skitarii-Vanguard-2017	Skitarii-Vanguard-2017.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99120116002_SkitariiVanguard01.jpg	https://www.warhammer.com/en-WW/shop/Skitarii-Vanguard-2017	99858	OK
Skorpius Disintegrator	Adeptus-Mechanicus-Skorpius-Disintegrator-2019	Adeptus-Mechanicus-Skorpius-Disintegrator-2019.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99120116023_SkorpiusDistintegrator01.jpg	https://www.warhammer.com/en-WW/shop/Adeptus-Mechanicus-Skorpius-Disintegrator-2019	109915	OK
Skorpius Dunerider	Adeptus-Mechanicus-Skorpius-Dunerider-2019	Adeptus-Mechanicus-Skorpius-Dunerider-2019.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99120116023_SkorpiusDistintegrator02.jpg	https://www.warhammer.com/en-WW/shop/Adeptus-Mechanicus-Skorpius-Dunerider-2019	94758	OK
Sydonian Skatros	adeptus-mechanicus-sydonian-skatros-2023	adeptus-mechanicus-sydonian-skatros-2023.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99120116045_ADMECHSydonianSkatros01.jpg	https://www.warhammer.com/en-WW/shop/adeptus-mechanicus-sydonian-skatros-2023	571692	OK
Tech-Priest Dominus	Ad-Mec-Tech-Priest-Dominus	Ad-Mec-Tech-Priest-Dominus.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99070116001_AdMechTechPriestDominus01.jpg	https://www.warhammer.com/en-WW/shop/Ad-Mec-Tech-Priest-Dominus	82382	OK
Tech-Priest Enginseer	Astra-Militarum-Tech-Priest-Enginseer	Astra-Militarum-Tech-Priest-Enginseer.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99070105002_TechpriestEnginseer01.jpg	https://www.warhammer.com/en-WW/shop/Astra-Militarum-Tech-Priest-Enginseer	84677	OK
Tech-Priest Manipulus	Adeptus-Mechanicus-Tech-priest-Manipulus-2020	Adeptus-Mechanicus-Tech-priest-Manipulus-2020.jpg	https://www.warhammer.com/app/resources/catalog/product/920x950/99070116002_TechPriestManipulusLead.jpg	https://www.warhammer.com/en-WW/shop/Adeptus-Mechanicus-Tech-priest-Manipulus-2020	107209	OK
